Submitted identifier,Found identifier
P04114,P04114
P48051,P48051
Q92736,Q92736
Q9H845,Q9H845
P51580,P51580
O14791,O14791
Q99250,Q99250
P48050,P48050
P54855,P54855
P51589,P51589
P17787,P17787
P21802,P21802-1
P21802,P21802
P21802,P21802-18
P21802,P21802-3
P21802,P21802-17
P21802,P21802-5
P37288,P37288
P20711,P20711
P16581,P16581
P60174,P60174
P49019,P49019
P61026,P61026
P48048,P48048
P04003,P04003
Q9H2H8,Q9H2H8
P04004,P04004
P27487,P27487
P08603,P08603
O15530,O15530
P30518,P30518
P52209,P52209
Q9GZZ6,Q9GZZ6
P16109,P16109
Q07343,Q07343
Q08431,Q08431
Q9BYF1,Q9BYF1
P15144,P15144
P18405,P18405
P21817,P21817
Q9BRY0,Q9BRY0
Q8N695,Q8N695
O14556,O14556
Q92959,Q92959
Q06481,Q06481
P05546,P05546
P28300,P28300
P04217,P04217
P46098,P46098
P54750,P54750
Q8NEW0,Q8NEW0
Q07699,Q07699
Q13936,Q13936
P17405,P17405
P15104,P15104
P16435,P16435
Q8NBP7,Q8NBP7
P19823,P19823
P20815,P20815
P20813,P20813
P48029,P48029
Q9UJU2,Q9UJU2
P03372,P03372-3
P03372,P03372-4
P03372,P03372
P08700,P08700
P27448,P27448
P06401,P06401
P06401,P06401-2
P26358,P26358
P06400,P06400
P05556,P05556
Q5T3U5,Q5T3U5
P21918,P21918
P21917,P21917
O95342,O95342
P17302,P17302
P16455,P16455
P20701,P20701
P15121,P15121
O00180,O00180
P17540,P17540
P19838,P19838
Q6NXT4,Q6NXT4
O15427,O15427
P27338,P27338
Q92820,Q92820
P10909,P10909
Q9UL15,Q9UL15
P08758,P08758
P04279,P04279
Q9Y5Y9,Q9Y5Y9
O00469,O00469
P08514,P08514
O95477,O95477
Q9Y5Y6,Q9Y5Y6
P28482,P28482
Q9NS40,Q9NS40
P19652,P19652
P50213,P50213
P51787,P51787
P15169,P15169
P37088,P37088
O60885,O60885
P21964,P21964
P21728,P21728
P39023,P39023
P07550,P07550
P61586,P61586
P31645,P31645
Q9Y478,Q9Y478
P30556,P30556
P27169,P27169
Q03181,Q03181
P29466,P29466
Q92769,Q92769
P30559,P30559
Q9Y233,Q9Y233
Q9H4P4,Q9H4P4
P09619,P09619
O60656,O60656
P42898,P42898
P16152,P16152
O14874,O14874
P07202,P07202
P05023,P05023
P07204,P07204
Q92887,Q92887
P07203,P07203
P54710,P54710
P52895,P52895
P05106,P05106
P28222,P28222
P28223,P28223
P05108,P05108
P05109,P05109
Q9NYB5,Q9NYB5
Q9UK17,Q9UK17
P31639,P31639
Q8IZS8,Q8IZS8
O95255,O95255
P53985,P53985
P30542,P30542
P31994,P31994
P18545,P18545
P19634,P19634
P62330,P62330
P15151,P15151
Q9Y251,Q9Y251
P05230,P05230
Q4U2R8,Q4U2R8
Q12770,Q12770
P20851,P20851
P04264,P04264
P08620,P08620
Q13621,Q13621
P10827,P10827
