id,value
Cardiovascular system (C),C
Cardiovascular system (C);Cardiac therapy (C01),C01
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A),C01A
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A);Digitalis glycosides (C01AA),C01AA
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A);Digitalis glycosides (C01AA);Acetyldigitoxin (C01AA01),C01AA01
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A);Digitalis glycosides (C01AA);Digitoxin (C01AA04),C01AA04
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A);Digitalis glycosides (C01AA);Digoxin (C01AA05),C01AA05
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A);Digitalis glycosides (C01AA);Deslanoside (C01AA07),C01AA07
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A);Strophanthus glycosides (C01AC),C01AC
Cardiovascular system (C);Cardiac therapy (C01);Cardiac glycosides (C01A);Strophanthus glycosides (C01AC);G-strophanthin (C01AC01),C01AC01
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B)",C01B
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA)",C01BA
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA);Quinidine (C01BA01)",C01BA01
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA);Procainamide (C01BA02)",C01BA02
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA);Disopyramide (C01BA03)",C01BA03
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA);Sparteine (C01BA04)",C01BA04
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA);Ajmaline (C01BA05)",C01BA05
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA);Quinidine, combinations excl. psycholeptics (C01BA51)",C01BA51
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ia (C01BA);Quinidine, combinations with psycholeptics (C01BA71)",C01BA71
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ib (C01BB)",C01BB
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ib (C01BB);Lidocaine (C01BB01)",C01BB01
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ib (C01BB);Mexiletine (C01BB02)",C01BB02
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ib (C01BB);Tocainide (C01BB03)",C01BB03
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ib (C01BB);Aprindine (C01BB04)",C01BB04
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ic (C01BC)",C01BC
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ic (C01BC);Propafenone (C01BC03)",C01BC03
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ic (C01BC);Flecainide (C01BC04)",C01BC04
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class ic (C01BC);Encainide (C01BC08)",C01BC08
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class iii (C01BD)",C01BD
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class iii (C01BD);Amiodarone (C01BD01)",C01BD01
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class iii (C01BD);Bretylium tosilate (C01BD02)",C01BD02
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class iii (C01BD);Dofetilide (C01BD04)",C01BD04
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class iii (C01BD);Ibutilide (C01BD05)",C01BD05
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Antiarrhythmics, class iii (C01BD);Dronedarone (C01BD07)",C01BD07
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Other antiarrhythmics, class i and iii (C01BG)",C01BG
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Other antiarrhythmics, class i and iii (C01BG);Moracizine (C01BG01)",C01BG01
"Cardiovascular system (C);Cardiac therapy (C01);Antiarrhythmics, class i and iii (C01B);Other antiarrhythmics, class i and iii (C01BG);Vernakalant (C01BG11)",C01BG11
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C),C01C
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA),C01CA
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Isoprenaline (C01CA02),C01CA02
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Norepinephrine (C01CA03),C01CA03
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Dopamine (C01CA04),C01CA04
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Phenylephrine (C01CA06),C01CA06
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Dobutamine (C01CA07),C01CA07
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Oxedrine (C01CA08),C01CA08
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Metaraminol (C01CA09),C01CA09
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Methoxamine (C01CA10),C01CA10
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Mephentermine (C01CA11),C01CA11
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Midodrine (C01CA17),C01CA17
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Fenoldopam (C01CA19),C01CA19
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Arbutamine (C01CA22),C01CA22
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Epinephrine (C01CA24),C01CA24
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Ephedrine (C01CA26),C01CA26
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Adrenergic and dopaminergic agents (C01CA);Droxidopa (C01CA27),C01CA27
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Phosphodiesterase inhibitors (C01CE),C01CE
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Phosphodiesterase inhibitors (C01CE);Amrinone (C01CE01),C01CE01
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Phosphodiesterase inhibitors (C01CE);Milrinone (C01CE02),C01CE02
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Phosphodiesterase inhibitors (C01CE);Enoximone (C01CE03),C01CE03
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Other cardiac stimulants (C01CX),C01CX
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Other cardiac stimulants (C01CX);Xamoterol (C01CX07),C01CX07
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Other cardiac stimulants (C01CX);Levosimendan (C01CX08),C01CX08
Cardiovascular system (C);Cardiac therapy (C01);Cardiac stimulants excl. cardiac glycosides (C01C);Other cardiac stimulants (C01CX);Angiotensin ii (C01CX09),C01CX09
Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D),C01D
Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA),C01DA
Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Glyceryl trinitrate (C01DA02),C01DA02
Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Pentaerithrityl tetranitrate (C01DA05),C01DA05
Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Isosorbide dinitrate (C01DA08),C01DA08
Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Eritrityl tetranitrate (C01DA13),C01DA13
Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Isosorbide mononitrate (C01DA14),C01DA14
"Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Glyceryl trinitrate, combinations (C01DA52)",C01DA52
"Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Pentaerithrityl tetranitrate, combinations (C01DA55)",C01DA55
"Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Isosorbide dinitrate, combinations (C01DA58)",C01DA58
"Cardiovascular system (C);Cardiac therapy (C01);Vasodilators used in cardiac diseases (C01D);Organic nitrates (C01DA);Eritrityl tetranitrate, combinations (C01DA63)",C01DA63
