id,value
CVD,C14
CVD;Cardiovascular Abnormalities,C14240
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital",C14240400
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;22q11 Deletion Syndrome",C14240400021
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;22q11 Deletion Syndrome;DiGeorge Syndrome",C14240400021500
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Alagille Syndrome",C14240400044
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Aortic Coarctation",C14240400090
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Arrhythmogenic Right Ventricular Dysplasia",C14240400145
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Barth Syndrome",C14240400172
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Cor Triatriatum",C14240400200
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Coronary Vessel Anomalies",C14240400210
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Coronary Vessel Anomalies;Bland White Garland Syndrome",C14240400210249
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Coronary Vessel Anomalies;Myocardial Bridging",C14240400210500
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Crisscross Heart",C14240400220
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Dextrocardia",C14240400280
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Dextrocardia;Kartagener Syndrome",C14240400280500
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Ductus Arteriosus, Patent",C14240400340
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Ebstein Anomaly",C14240400395
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Ectopia Cordis",C14240400422
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Eisenmenger Complex",C14240400450
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects",C14240400560
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects;Aortopulmonary Septal Defect",C14240400560098
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects;Aortopulmonary Septal Defect;Truncus Arteriosus, Persistent",C14240400560098500
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects;Endocardial Cushion Defects",C14240400560350
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects;Heart Septal Defects, Atrial",C14240400560375
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects;Heart Septal Defects, Atrial;Foramen Ovale, Patent",C14240400560375258
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects;Heart Septal Defects, Atrial;Lutembacher Syndrome",C14240400560375518
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heart Septal Defects;Heart Septal Defects, Ventricular",C14240400560540
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Heterotaxy Syndrome",C14240400592
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Hypoplastic Left Heart Syndrome",C14240400625
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Isolated Noncompaction of the Ventricular Myocardium",C14240400660
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;LEOPARD Syndrome",C14240400695
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Levocardia",C14240400701
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Marfan Syndrome",C14240400725
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Noonan Syndrome",C14240400787
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Tetralogy of Fallot",C14240400849
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Transposition of Great Vessels",C14240400915
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Transposition of Great Vessels;Double Outlet Right Ventricle",C14240400915300
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Tricuspid Atresia",C14240400920
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Trilogy of Fallot",C14240400960
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Trisomy 13 Syndrome",C14240400970
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Trisomy 18 Syndrome",C14240400975
"CVD;Cardiovascular Abnormalities;Heart Defects, Congenital;Turner Syndrome",C14240400980
CVD;Cardiovascular Abnormalities;Vascular Malformations,C14240850
CVD;Cardiovascular Abnormalities;Vascular Malformations;Arteriovenous Malformations,C14240850750
CVD;Cardiovascular Abnormalities;Vascular Malformations;Arteriovenous Malformations;Arteriovenous Fistula,C14240850750147
CVD;Cardiovascular Abnormalities;Vascular Malformations;Arteriovenous Malformations;Arteriovenous Fistula;Carotid-Cavernous Sinus Fistula,C14240850750147500
CVD;Cardiovascular Abnormalities;Vascular Malformations;Arteriovenous Malformations;Intracranial Arteriovenous Malformations,C14240850750295
CVD;Cardiovascular Abnormalities;Vascular Malformations;Arteriovenous Malformations;Intracranial Arteriovenous Malformations;Vein of Galen Malformations,C14240850750295500
CVD;Cardiovascular Abnormalities;Vascular Malformations;Central Nervous System Vascular Malformations,C14240850875
CVD;Cardiovascular Abnormalities;Vascular Malformations;Central Nervous System Vascular Malformations;Central Nervous System Venous Angioma,C14240850875124
"CVD;Cardiovascular Abnormalities;Vascular Malformations;Central Nervous System Vascular Malformations;Hemangioma, Cavernous, Central Nervous System",C14240850875249
CVD;Cardiovascular Abnormalities;Vascular Malformations;Central Nervous System Vascular Malformations;Intracranial Arteriovenous Malformations,C14240850875500
CVD;Cardiovascular Abnormalities;Vascular Malformations;Central Nervous System Vascular Malformations;Intracranial Arteriovenous Malformations;Vein of Galen Malformations,C14240850875500500
CVD;Cardiovascular Abnormalities;Vascular Malformations;Central Nervous System Vascular Malformations;Sinus Pericranii,C14240850875750
CVD;Cardiovascular Abnormalities;Vascular Malformations;May-Thurner Syndrome,C14240850906
CVD;Cardiovascular Abnormalities;Vascular Malformations;Median Arcuate Ligament Syndrome,C14240850922
CVD;Cardiovascular Abnormalities;Vascular Malformations;Pulmonary Atresia,C14240850937
CVD;Cardiovascular Abnormalities;Vascular Malformations;Scimitar Syndrome,C14240850968
CVD;Cardiovascular Abnormalities;Vascular Malformations;Single Umbilical Artery,C14240850976
CVD;Cardiovascular Abnormalities;Vascular Malformations;Vascular Fistula,C14240850984
CVD;Cardiovascular Abnormalities;Vascular Malformations;Vascular Fistula;Arterio-Arterial Fistula,C14240850984500
CVD;Cardiovascular Abnormalities;Vascular Malformations;Vascular Fistula;Arterio-Arterial Fistula;Bland White Garland Syndrome,C14240850984500500
CVD;Cardiovascular Abnormalities;Vascular Malformations;Vascular Fistula;Arteriovenous Fistula,C14240850984750
CVD;Cardiovascular Abnormalities;Vascular Malformations;Vascular Fistula;Arteriovenous Fistula;Carotid-Cavernous Sinus Fistula,C14240850984750500
CVD;Cardiovascular Abnormalities;Vascular Malformations;Vascular Ring,C14240850992
CVD;Cardiovascular Infections,C14260
"CVD;Cardiovascular Infections;Endocarditis, Bacterial",C14260249
"CVD;Cardiovascular Infections;Endocarditis, Bacterial;Endocarditis, Subacute Bacterial",C14260249407
"CVD;Cardiovascular Infections;Syphilis, Cardiovascular",C14260500
