id,value
Alimentary tract and metabolism,A
Alimentary tract and metabolism.Stomatological preparations,A01
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations,A01A
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Corticosteroids for local oral treatment,A01AC
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Corticosteroids for local oral treatment.Triamcinolone,A01AC01
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Corticosteroids for local oral treatment.Dexamethasone,A01AC02
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Corticosteroids for local oral treatment.Hydrocortisone,A01AC03
"Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Corticosteroids for local oral treatment.Prednisolone, combinations",A01AC54
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Other agents for local oral treatment,A01AD
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Other agents for local oral treatment.Epinephrine,A01AD01
Alimentary tract and metabolism.Stomatological preparations.Stomatological preparations.Other agents for local oral treatment.Acetylsalicylic acid,A01AD05
Alimentary tract and metabolism.Drugs for functional gastrointestinal disorders,A03
"Alimentary tract and metabolism.Drugs for functional gastrointestinal disorders.Belladonna and derivatives, plain",A03B
"Alimentary tract and metabolism.Drugs for functional gastrointestinal disorders.Belladonna and derivatives, plain.Belladonna alkaloids, tertiary amines",A03BA
"Alimentary tract and metabolism.Drugs for functional gastrointestinal disorders.Belladonna and derivatives, plain.Belladonna alkaloids, tertiary amines.Atropine",A03BA01
Alimentary tract and metabolism.Drugs for functional gastrointestinal disorders.Antispasmodics in combination with psycholeptics,A03C
Alimentary tract and metabolism.Drugs for functional gastrointestinal disorders.Antispasmodics in combination with psycholeptics.Belladonna and derivatives in combination with psycholeptics,A03CB
Alimentary tract and metabolism.Drugs for functional gastrointestinal disorders.Antispasmodics in combination with psycholeptics.Belladonna and derivatives in combination with psycholeptics.Atropine and psycholeptics,A03CB03
Alimentary tract and metabolism.Drugs for constipation,A06
Alimentary tract and metabolism.Drugs for constipation.Drugs for constipation,A06A
Alimentary tract and metabolism.Drugs for constipation.Drugs for constipation.Osmotically acting laxatives,A06AD
Alimentary tract and metabolism.Drugs for constipation.Drugs for constipation.Osmotically acting laxatives.Magnesium sulfate,A06AD04
"Alimentary tract and metabolism.Antidiarrheals, intestinal antiinflammatory/antiinfective agents",A07
"Alimentary tract and metabolism.Antidiarrheals, intestinal antiinflammatory/antiinfective agents.Intestinal antiinflammatory agents",A07E
"Alimentary tract and metabolism.Antidiarrheals, intestinal antiinflammatory/antiinfective agents.Intestinal antiinflammatory agents.Corticosteroids acting locally",A07EA
"Alimentary tract and metabolism.Antidiarrheals, intestinal antiinflammatory/antiinfective agents.Intestinal antiinflammatory agents.Corticosteroids acting locally.Prednisolone",A07EA01
"Alimentary tract and metabolism.Antidiarrheals, intestinal antiinflammatory/antiinfective agents.Intestinal antiinflammatory agents.Corticosteroids acting locally.Hydrocortisone",A07EA02
"Alimentary tract and metabolism.Antidiarrheals, intestinal antiinflammatory/antiinfective agents.Intestinal antiinflammatory agents.Corticosteroids acting locally.Betamethasone",A07EA04
"Alimentary tract and metabolism.Antiobesity preparations, excl. diet products",A08
"Alimentary tract and metabolism.Antiobesity preparations, excl. diet products.Antiobesity preparations, excl. diet products",A08A
"Alimentary tract and metabolism.Antiobesity preparations, excl. diet products.Antiobesity preparations, excl. diet products.Centrally acting antiobesity products",A08AA
"Alimentary tract and metabolism.Antiobesity preparations, excl. diet products.Antiobesity preparations, excl. diet products.Centrally acting antiobesity products.Ephedrine, combinations",A08AA56
Alimentary tract and metabolism.Drugs used in diabetes,A10
Alimentary tract and metabolism.Drugs used in diabetes.Insulins and analogues,A10A
