Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-383280,"Nuclear Receptor transcription pathway",36,86,0.00765328824419329,1.1102230246251565E-16,4.618527782440651E-14,2,2,1.5114873035066505E-4,9606,Homo sapiens,"P10827;Q03181;Q14994;P10828;O75469;P48443;P19793;P10275;P51843;P37231;Q07869;P04150;P03372;P28702;P06401;P08235","O75469-5;O75469-6;P19793;O75469-3;O75469-4;P04150-1;P04150-2;P10275;O75469-7;Q14994-1;P04150-3;Q14994-2;P04150-4;P08235-2;P08235-1;P08235-4;P08235-3;O75469-1;O75469-2;Q07869;P03372;P06401;P10827;Q03181;P10828;P51843-2;P48443;P06401-2;P04150-5;P37231;P04150-6;P04150-7;P04150-8;P04150-9;P51843-1;P28702","R-HSA-382096;R-HSA-376419"
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",37,86,0.00765328824419329,1.1102230246251565E-16,4.618527782440651E-14,33,66,0.004987908101571947,9606,Homo sapiens,"Q6XR72;P00450;Q13433;Q8IWU4;O15244;Q8NEW0;Q9Y6M5;Q9ULF5;P54219;P53985;Q8TAD4;O76082;Q9NY26;Q15043;Q9BRI3;Q4U2R8;Q99726;Q9NSA0;Q9C0K1;Q9Y694;Q9NP94;O75751;Q9H015;Q05940;Q96FL8;Q86VL8;Q9BRY0;Q6NXT4;P23975;O15245;O15427;Q96S37;Q92504;Q6P5W5;Q6ZMH5;Q8TCC7;Q01959","Q6XR72;P00450;Q13433;Q8IWU4;O15244;Q8NEW0;Q9Y6M5;Q9ULF5;P54219;P53985;Q8TAD4;O76082;Q9NY26;Q15043;Q9BRI3;Q4U2R8;Q99726;Q9NSA0;Q9C0K1;Q9Y694;Q9NP94;O75751;Q9H015;Q05940;Q96FL8;Q86VL8;Q9BRY0;Q6NXT4;P23975;O15245;O15427;Q96S37;Q92504;Q6P5W5;Q6ZMH5;Q8TCC7;Q01959","R-HSA-549129;R-HSA-549322;R-HSA-379393;R-HSA-444160;R-HSA-442317;R-HSA-437129;R-HSA-442387;R-HSA-437139;R-HSA-561054;R-HSA-437136;R-HSA-549279;R-HSA-561041;R-HSA-437084;R-HSA-443997;R-HSA-437085;R-HSA-434650;R-HSA-442393;R-HSA-435366;R-HSA-442405;R-HSA-433698;R-HSA-435375;R-HSA-561059;R-HSA-561253;R-HSA-442345;R-HSA-442422;R-HSA-549304;R-HSA-549241;R-HSA-904830;R-HSA-374896;R-HSA-9645220;R-HSA-561072;R-HSA-549297;R-HSA-8959798"
R-HSA-382551,"Transport of small molecules",125,731,0.06505295007564296,1.1102230246251565E-16,4.618527782440651E-14,181,441,0.03332829504232165,9606,Homo sapiens,"P04114;Q8TD43;Q92736;P98155;O15244;Q16348;Q01650;Q9ULF5;P54219;P11168;O76082;Q9BRI3;Q9NSA0;P07237;Q9C0K1;P55157;P32418;P13637;Q16515;P30518;Q8TF71;Q9H2X9;P22748;Q96FL8;Q9BRY0;P21817;Q96BD0;P48556;O15245;Q8N695;Q9NPD5;Q92959;P00450;Q8NEW0;O75762;P13569;O60706;Q7RTT9;Q2M3G0;Q8TAD4;Q8NBP7;P68871;Q15043;Q9UPY5;P01130;P29122;Q9Y694;Q13546;O75751;Q9H015;Q5T3U5;Q05940;Q6NXT4;Q9HAS3;Q96S37;Q9UP95;O15427;Q6XR72;Q13433;P78348;P29972;O95477;O15440;P35610;P37088;Q8NET8;P02649;P02768;P02647;Q99726;O15438;P69905;O15439;Q14654;Q9Y6L6;Q0VD83;Q86VL8;Q7Z2W7;O94956;P46059;P05023;Q6P5W5;Q6ZMH5;Q92887;P01023;Q01959;P54710;P51168;Q8IWU4;Q9NYB5;P31639;Q9Y6M5;Q8WTV0;P50993;O95255;P53985;Q9NRM0;P19634;P08183;Q9NY26;Q4U2R8;P51170;P02787;P46721;P33527;P55017;Q13621;Q9UNQ0;P0DP23;Q9NP94;P51172;P55011;P06727;Q96J66;P00918;Q9UIG8;Q8NER1;P17612;P00915;P23975;P09601;Q92504;P02652;Q6ZQN7;Q8TCC7","P04114;Q8TD43;Q92736;P98155;O15244;Q16348;Q01650;Q9ULF5;P54219;P11168;O76082;Q9BRI3;Q9NSA0;P07237;Q9C0K1;P55157;P32418;P13637;Q16515;P30518;Q8TF71;Q9H2X9;P22748;Q96FL8;Q9BRY0;P21817;Q96BD0;P48556;O15245;Q8N695;Q8WTV0-2;Q9NPD5;Q92959;P00450;Q8NEW0;O75762;P13569;O60706;Q7RTT9;Q2M3G0;Q8TAD4;Q8NBP7;P68871;Q15043;Q9UPY5;P01130;P29122;Q9Y694;Q9UIG8-1;Q13546;O75751;Q9H015;Q5T3U5;Q05940;Q6NXT4;Q9HAS3;Q96S37;Q9UP95;O15427;Q6XR72;Q13433;P78348;P29972;O95477;O15440;P35610;P37088;Q8NET8;P02649;P02768;P02647;Q99726;O15438;P69905;O15439;Q14654;Q9Y6L6;Q0VD83;Q86VL8;Q7Z2W7;O94956;P46059;P05023;Q6P5W5;Q6ZMH5;Q92887;P01023;Q01959;P54710;P51168;Q8IWU4;Q9NYB5;P31639;Q9Y6M5;P50993;O95255;P53985;Q9NRM0;P19634;P08183;Q9NY26;Q4U2R8;P51170;P02787;P46721;P33527;P55017;Q13621;Q9UNQ0;P0DP23;Q9NP94;P51172;P55011;P06727;Q96J66;P00918;Q8NER1;P17612;P00915;P23975;P09601;Q92504;P02652;Q6ZQN7;Q8TCC7","R-HSA-549129;R-HSA-8933258;R-HSA-8865667;R-HSA-379393;R-HSA-444160;R-HSA-6784622;R-HSA-8858252;R-HSA-425994;R-HSA-8854408;R-HSA-6784628;R-HSA-442387;R-HSA-189208;R-HSA-194079;R-HSA-442393;R-HSA-8876696;R-HSA-1237042;R-HSA-917807;R-HSA-194083;R-HSA-174624;R-HSA-442405;R-HSA-8933292;R-HSA-433698;R-HSA-2671885;R-HSA-1237047;R-HSA-8951727;R-HSA-450095;R-HSA-9701055;R-HSA-429613;R-HSA-442422;R-HSA-171059;R-HSA-264758;R-HSA-111925;R-HSA-9645220;R-HSA-917814;R-HSA-8854462;R-HSA-432188;R-HSA-266303;R-HSA-266299;R-HSA-917839;R-HSA-266310;R-HSA-392263;R-HSA-174657;R-HSA-432195;R-HSA-917835;R-HSA-174660;R-HSA-2855020;R-HSA-6806831;R-HSA-171087;R-HSA-266315;R-HSA-194130;R-HSA-1237059;R-HSA-1454916;R-HSA-1467457;R-HSA-5691150;R-HSA-5678863;R-HSA-437084;R-HSA-443997;R-HSA-437085;R-HSA-382553;R-HSA-266328;R-HSA-1237325;R-HSA-171106;R-HSA-174690;R-HSA-426086;R-HSA-9631987;R-HSA-9650165;R-HSA-3295579;R-HSA-8866542;R-HSA-266350;R-HSA-266089;R-HSA-561253;R-HSA-432232;R-HSA-3295580;R-HSA-171122;R-HSA-174706;R-HSA-8866551;R-HSA-549241;R-HSA-904830;R-HSA-8866546;R-HSA-374896;R-HSA-1475436;R-HSA-1475435;R-HSA-8866553;R-HSA-427910;R-HSA-8863494;R-HSA-9701141;R-HSA-8866308;R-HSA-6784738;R-HSA-264834;R-HSA-171141;R-HSA-8866304;R-HSA-174731;R-HSA-432010;R-HSA-917891;R-HSA-917888;R-HSA-437129;R-HSA-8866327;R-HSA-216723;R-HSA-174739;R-HSA-216727;R-HSA-264848;R-HSA-378513;R-HSA-426130;R-HSA-437139;R-HSA-8866321;R-HSA-561054;R-HSA-437136;R-HSA-174741;R-HSA-549279;R-HSA-561041;R-HSA-352158;R-HSA-8866329;R-HSA-9737780;R-HSA-435366;R-HSA-8866851;R-HSA-879528;R-HSA-174757;R-HSA-1247668;R-HSA-435375;R-HSA-561059;R-HSA-426155;R-HSA-432054;R-HSA-549304;R-HSA-1247649;R-HSA-429749;R-HSA-216757;R-HSA-216756;R-HSA-727740;R-HSA-6784735;R-HSA-561072;R-HSA-6784734;R-HSA-549297;R-HSA-425661;R-HSA-6784729;R-HSA-8959798;R-HSA-174786;R-HSA-349637;R-HSA-8855111;R-HSA-429767;R-HSA-549322;R-HSA-349638;R-HSA-2682349;R-HSA-879562;R-HSA-8876366;R-HSA-442317;R-HSA-936897;R-HSA-8981574;R-HSA-383190;R-HSA-727768;R-HSA-189398;R-HSA-917979;R-HSA-427998;R-HSA-349404;R-HSA-507870;R-HSA-174808;R-HSA-879575;R-HSA-507868;R-HSA-349657;R-HSA-8855131;R-HSA-434650;R-HSA-8855130;R-HSA-5682103;R-HSA-264678;R-HSA-5682101;R-HSA-8854628;R-HSA-264679;R-HSA-109538;R-HSA-5678261;R-HSA-2672334;R-HSA-879594;R-HSA-429036;R-HSA-176879;R-HSA-879584;R-HSA-917987;R-HSA-352232;R-HSA-442345;R-HSA-5682084;R-HSA-264695;R-HSA-264689;R-HSA-9684068;R-HSA-174587"
R-HSA-425407,"SLC-mediated transmembrane transport",65,250,0.022247930942422355,1.1102230246251565E-16,4.618527782440651E-14,61,190,0.01435912938331318,9606,Homo sapiens,"Q6XR72;Q13433;O15244;Q16348;Q01650;Q9ULF5;P54219;P11168;O76082;Q9BRI3;Q99726;Q9NSA0;Q9C0K1;P32418;Q8TF71;Q9Y6L6;Q9H2X9;Q96FL8;Q86VL8;Q9BRY0;Q96BD0;Q8N695;O15245;O94956;P46059;Q9NPD5;Q6P5W5;Q6ZMH5;Q01959;Q92959;P00450;Q8IWU4;Q8NEW0;Q9NYB5;P31639;Q9Y6M5;Q7RTT9;P53985;P19634;Q9NRM0;Q8TAD4;Q9NY26;Q15043;Q4U2R8;Q9UPY5;P46721;P55017;Q13621;P0DP23;Q9Y694;Q9NP94;P55011;O75751;Q9H015;Q05940;Q9UIG8;Q6NXT4;P23975;Q9UP95;O15427;Q9HAS3;Q92504;Q96S37;Q6ZQN7;Q8TCC7","Q6XR72;Q13433;O15244;Q16348;Q01650;Q9ULF5;P54219;P11168;O76082;Q9BRI3;Q99726;Q9NSA0;Q9C0K1;P32418;Q8TF71;Q9Y6L6;Q9H2X9;Q96FL8;Q86VL8;Q9BRY0;Q96BD0;Q8N695;O15245;O94956;P46059;Q9NPD5;Q6P5W5;Q6ZMH5;Q01959;Q92959;P00450;Q8IWU4;Q8NEW0;Q9NYB5;P31639;Q9Y6M5;Q7RTT9;P53985;P19634;Q9NRM0;Q8TAD4;Q9NY26;Q15043;Q4U2R8;Q9UPY5;P46721;P55017;Q13621;P0DP23;Q9Y694;Q9NP94;Q9UIG8-1;P55011;O75751;Q9H015;Q05940;Q6NXT4;P23975;Q9UP95;O15427;Q9HAS3;Q92504;Q96S37;Q6ZQN7;Q8TCC7","R-HSA-549129;R-HSA-379393;R-HSA-444160;R-HSA-425994;R-HSA-437129;R-HSA-378513;R-HSA-426130;R-HSA-442387;R-HSA-437139;R-HSA-561054;R-HSA-437136;R-HSA-549279;R-HSA-561041;R-HSA-189208;R-HSA-352158;R-HSA-194079;R-HSA-442393;R-HSA-435366;R-HSA-194083;R-HSA-442405;R-HSA-433698;R-HSA-879528;R-HSA-450095;R-HSA-435375;R-HSA-561059;R-HSA-429613;R-HSA-426155;R-HSA-442422;R-HSA-549304;R-HSA-429749;R-HSA-9645220;R-HSA-727740;R-HSA-561072;R-HSA-549297;R-HSA-425661;R-HSA-8959798;R-HSA-429767;R-HSA-549322;R-HSA-879562;R-HSA-442317;R-HSA-8981574;R-HSA-194130;R-HSA-727768;R-HSA-427998;R-HSA-879575;R-HSA-437084;R-HSA-443997;R-HSA-437085;R-HSA-434650;R-HSA-426086;R-HSA-9631987;R-HSA-109538;R-HSA-879594;R-HSA-429036;R-HSA-879584;R-HSA-352232;R-HSA-561253;R-HSA-442345;R-HSA-549241;R-HSA-904830;R-HSA-374896"
R-HSA-211859,"Biological oxidations",55,223,0.01984515440064074,6.661338147750939E-16,2.2182256032010628E-13,80,176,0.013301088270858524,9606,Homo sapiens,"P04798;P51580;O00748;P10635;P19099;P11766;P10632;P11245;P54855;P51589;P19801;P16662;P21964;P05091;P08684;P09210;P09211;P05177;Q16678;P15538;P19224;O60656;P05181;P22309;Q02928;P24462;P11509;P05108;P19793;Q5VT66;P16435;P20815;P40261;P33260;P20813;P33261;P07099;P00326;P22310;Q9HB55;P23141;P35869;Q16853;P11712;P11511;O75795;P35503;Q9NR19;P23219;P21397;P09488;P06133;P0DMM9;P27338;Q9HAW8","P04798;P51580;O00748;P10635;P19099;P11766;P10632;P11245;P54855;P51589;P19801;P16662;P21964;P05091;P08684;P09210;P09211;P05177;Q16678;P15538;P19224;O60656;P05181;P22309;Q02928;P24462;P11509;P05108;P19793;Q5VT66;P16435;P20815;P40261;P33260;P20813;P33261;P07099;P00326;P22310;Q9HB55;P23141;P35869;Q16853;P11712;P11511;O75795;P35503;Q9NR19;P23219;P21397;P09488;P06133;P0DMM9;P27338;Q9HAW8","R-HSA-141186;R-HSA-76416;R-HSA-211968;R-HSA-76426;R-HSA-211983;R-HSA-8941701;R-HSA-141202;R-HSA-141200;R-HSA-76434;R-HSA-158609;R-HSA-211991;R-HSA-211988;R-HSA-8936849;R-HSA-71707;R-HSA-5692237;R-HSA-211873;R-HSA-76453;R-HSA-212005;R-HSA-193060;R-HSA-212004;R-HSA-211882;R-HSA-76456;R-HSA-71723;R-HSA-211881;R-HSA-5694077;R-HSA-5693691;R-HSA-5692283;R-HSA-193965;R-HSA-192051;R-HSA-76466;R-HSA-213175;R-HSA-176054;R-HSA-9632038;R-HSA-9632039;R-HSA-71735;R-HSA-76472;R-HSA-76475;R-HSA-140355;R-HSA-76354;R-HSA-192065;R-HSA-211910;R-HSA-140359;R-HSA-174916;R-HSA-193995;R-HSA-159179;R-HSA-176585;R-HSA-193997;R-HSA-76494;R-HSA-193101;R-HSA-174931;R-HSA-8937177;R-HSA-76373;R-HSA-5696131;R-HSA-211924;R-HSA-159194;R-HSA-176474;R-HSA-8937169;R-HSA-211929;R-HSA-5696183;R-HSA-5423664;R-HSA-76386;R-HSA-194017;R-HSA-215526;R-HSA-5423672;R-HSA-156526;R-HSA-5423678;R-HSA-211951;R-HSA-76397;R-HSA-175983;R-HSA-143468;R-HSA-211948;R-HSA-8937191;R-HSA-175987;R-HSA-8936442;R-HSA-158832;R-HSA-211959;R-HSA-174967;R-HSA-211962;R-HSA-159358;R-HSA-211966"
R-HSA-375280,"Amine ligand-binding receptors",25,43,0.003826644122096645,1.1102230246251565E-15,3.0753177782116836E-13,18,22,0.0016626360338573155,9606,Homo sapiens,"P08912;P08913;P34969;P28222;P28223;P11229;P13945;P14416;P18089;P21728;P35462;P07550;P08588;P25021;P25100;P35368;P35367;P21918;P08908;P21917;P35348;P18825;P20309;P08172;P08173","P08912;P08913;P34969;P28222;P28223;P11229;P13945;P14416;P18089;P21728;P35462;P07550;P08588;P25021;P25100;P35368;P35367;P21918;P08908;P21917;P35348;P18825;P20309;P08172;P08173","R-HSA-390663;R-HSA-390912;R-HSA-9656244;R-HSA-9609310;R-HSA-9611839;R-HSA-9693347;R-HSA-390673;R-HSA-390641;R-HSA-390929;R-HSA-390835;R-HSA-390931;R-HSA-390674;R-HSA-390930;R-HSA-390909;R-HSA-9611851;R-HSA-390846;R-HSA-390649;R-HSA-9611852"
R-HSA-211945,"Phase I - Functionalization of compounds",37,105,0.00934413099581739,1.3322676295501878E-15,3.170796958329447E-13,59,97,0.0073307134220072555,9606,Homo sapiens,"P04798;P24462;P11509;P05108;O00748;P10635;P19099;P19793;Q5VT66;P11766;P10632;P16435;P51589;P19801;P05091;P20815;P33260;P20813;P33261;P07099;P08684;P00326;P05177;Q9HB55;P23141;P35869;Q16853;Q16678;P11712;P11511;P15538;Q9NR19;P05181;P23219;Q02928;P21397;P27338","P04798;P24462;P11509;P05108;O00748;P10635;P19099;P19793;Q5VT66;P11766;P10632;P16435;P51589;P19801;P05091;P20815;P33260;P20813;P33261;P07099;P08684;P00326;P05177;Q9HB55;P23141;P35869;Q16853;Q16678;P11712;P11511;P15538;Q9NR19;P05181;P23219;Q02928;P21397;P27338","R-HSA-141186;R-HSA-76416;R-HSA-211968;R-HSA-76426;R-HSA-211983;R-HSA-141202;R-HSA-141200;R-HSA-76434;R-HSA-211991;R-HSA-211988;R-HSA-8936849;R-HSA-71707;R-HSA-5692237;R-HSA-211873;R-HSA-76453;R-HSA-212005;R-HSA-193060;R-HSA-212004;R-HSA-211882;R-HSA-76456;R-HSA-71723;R-HSA-211881;R-HSA-5694077;R-HSA-5693691;R-HSA-5692283;R-HSA-193965;R-HSA-192051;R-HSA-76466;R-HSA-213175;R-HSA-71735;R-HSA-76472;R-HSA-76475;R-HSA-140355;R-HSA-76354;R-HSA-192065;R-HSA-211910;R-HSA-140359;R-HSA-193995;R-HSA-193997;R-HSA-76494;R-HSA-193101;R-HSA-8937177;R-HSA-76373;R-HSA-5696131;R-HSA-211924;R-HSA-8937169;R-HSA-211929;R-HSA-5696183;R-HSA-194017;R-HSA-215526;R-HSA-211951;R-HSA-76397;R-HSA-143468;R-HSA-211948;R-HSA-8937191;R-HSA-8936442;R-HSA-211959;R-HSA-211962;R-HSA-211966"
R-HSA-435354,"Zinc transporters",17,17,0.0015128593040847202,8.881784197001252E-15,1.8474111129762605E-12,13,13,9.824667472793228E-4,9606,Homo sapiens,"Q9C0K1;Q13433;Q8IWU4;Q9NP94;Q8NEW0;Q9Y6M5;Q9ULF5;Q8TAD4;Q9BRY0;Q9NY26;Q6NXT4;Q15043;Q9BRI3;Q92504;Q99726;Q6P5W5;Q6ZMH5","Q9C0K1;Q13433;Q8IWU4;Q9NP94;Q8NEW0;Q9Y6M5;Q9ULF5;Q8TAD4;Q9BRY0;Q9NY26;Q6NXT4;Q15043;Q9BRI3;Q92504;Q99726;Q6P5W5;Q6ZMH5","R-HSA-435366;R-HSA-442405;R-HSA-435375;R-HSA-442317;R-HSA-437129;R-HSA-442345;R-HSA-442422;R-HSA-442387;R-HSA-437139;R-HSA-437136;R-HSA-437084;R-HSA-437085;R-HSA-442393"
R-HSA-425410,"Metal ion SLC transporters",19,26,0.002313784818011925,5.984102102729594E-14,1.1070588890049748E-11,15,20,0.0015114873035066505,9606,Homo sapiens,"Q6XR72;Q9C0K1;P00450;Q13433;Q8IWU4;Q9NP94;Q8NEW0;Q9Y6M5;Q9ULF5;Q8TAD4;Q9BRY0;Q9NY26;Q6NXT4;Q15043;Q9BRI3;Q92504;Q99726;Q6P5W5;Q6ZMH5","Q6XR72;Q9C0K1;P00450;Q13433;Q8IWU4;Q9NP94;Q8NEW0;Q9Y6M5;Q9ULF5;Q8TAD4;Q9BRY0;Q9NY26;Q6NXT4;Q15043;Q9BRI3;Q92504;Q99726;Q6P5W5;Q6ZMH5","R-HSA-435366;R-HSA-442405;R-HSA-435375;R-HSA-442317;R-HSA-437129;R-HSA-442345;R-HSA-442422;R-HSA-904830;R-HSA-442387;R-HSA-437139;R-HSA-437136;R-HSA-437084;R-HSA-437085;R-HSA-8959798;R-HSA-442393"
R-HSA-5576891,"Cardiac conduction",37,127,0.011301948918750556,3.843592111252292E-13,6.380362904678805E-11,17,27,0.0020405078597339785,9606,Homo sapiens,"Q14524;P54710;Q9Y5Y9;Q14500;Q92736;Q15858;Q9UK17;Q07699;P35499;O60706;Q13936;Q99250;P35498;Q12809;P50993;P48050;Q08289;P51787;Q9UQD0;P16066;Q9NY46;Q9NY47;P20594;O95069;Q14654;P0DP23;P32418;P13637;Q9Y257;P17612;Q99996;O00180;Q02641;P21817;P63252;Q9NZV8;P05023","Q14524;P54710;Q9Y5Y9;Q14500;Q92736;Q15858;Q9UK17;Q07699;P35499;O60706;Q13936;Q99250;P35498;Q12809;P50993;P48050;Q08289;P51787;Q9UQD0;P16066;Q9NY46;Q9NY47;P20594;O95069;Q14654;P0DP23;P32418;P13637;Q9Y257;P17612;Q99996;O00180;Q02641;P21817;P63252;Q9NZV8;P05023","R-HSA-427910;R-HSA-5577237;R-HSA-5678261;R-HSA-2855020;R-HSA-5577234;R-HSA-5577213;R-HSA-5576895;R-HSA-5617182;R-HSA-5578910;R-HSA-5692408;R-HSA-5617179;R-HSA-936897;R-HSA-5577050;R-HSA-6784598;R-HSA-9684068;R-HSA-425661;R-HSA-1296046"
